Designator,Mid X,Mid Y,Layer,Rotation
C1,+AC0-93.7,16.1,top,90
C2,+AC0-87.3,17.515,top,+AC0-90
C3,+AC0-92.355,33.45,top,0
C4,+AC0-95.335,33.45,top,180
C5,+AC0-83.085,22.3,top,0
C6,+AC0-94,20.775,top,180
C7,+AC0-94,19.825,top,180
C8,+AC0-86.385,24.6,top,0
C9,+AC0-96.2,20.325,top,90
C10,+AC0-94.7,31.9,top,180
C11,+AC0-96.9,22.915,top,+AC0-90
C12,+AC0-89.5,18.485,top,+AC0-90
C13,+AC0-86.285,22.6,top,0
C14,+AC0-98.3,20.085,top,+AC0-90
C15,+AC0-86.93,26.625,top,0
C16,+AC0-98.4,30.415,top,90
C17,+AC0-97.2,20.085,top,+AC0-90
C18,+AC0-91.15,31.17,top,90
C19,+AC0-88.3,17.485,top,+AC0-90
C20,+AC0-97.715,24.4,top,0
C21,+AC0-99.3,20.1,top,90
C22,+AC0-97.9,22.985,top,+AC0-90
C23,+AC0-85.3,32.215,top,90
C24,+AC0-77.73,22.045,top,+AC0-90
D1,+AC0-75.52,20.36,top,0
D101,+AC0-97.01,49.01,top,0
D102,+AC0-97.01,51.41,top,0
D103,+AC0-97.01,53.81,top,0
D104,+AC0-97.01,56.21,top,0
D105,+AC0-97.01,58.61,top,0
D106,+AC0-97.01,61.01,top,0
D107,+AC0-97.01,63.41,top,0
D108,+AC0-97.01,65.81,top,0
D109,+AC0-97.01,68.21,top,0
D110,+AC0-97.01,70.61,top,0
D111,+AC0-97.01,73.01,top,0
D112,+AC0-97.01,75.41,top,0
D113,+AC0-97.01,77.81,top,0
D114,+AC0-97.01,80.21,top,0
D115,+AC0-97.01,82.61,top,0
D116,+AC0-97.01,85.01,top,0
D117,+AC0-97.01,87.41,top,0
D118,+AC0-97.01,89.81,top,0
D119,+AC0-97.01,92.21,top,0
D120,+AC0-97.01,94.61,top,0
D121,+AC0-97.01,97.01,top,0
D122,+AC0-94.61,49.01,top,0
D123,+AC0-94.61,51.41,top,0
D124,+AC0-94.61,53.81,top,0
D125,+AC0-94.61,56.21,top,0
D126,+AC0-94.61,58.61,top,0
D127,+AC0-94.61,61.01,top,0
D128,+AC0-94.61,63.41,top,0
D129,+AC0-94.61,65.81,top,0
D130,+AC0-94.61,68.21,top,0
D131,+AC0-94.61,70.61,top,0
D132,+AC0-94.61,73.01,top,0
D133,+AC0-94.61,75.41,top,0
D134,+AC0-94.61,77.81,top,0
D135,+AC0-94.61,80.21,top,0
D136,+AC0-94.61,82.61,top,0
D137,+AC0-94.61,85.01,top,0
D138,+AC0-94.61,87.41,top,0
D139,+AC0-94.61,89.81,top,0
D140,+AC0-94.61,92.21,top,0
D141,+AC0-94.61,94.61,top,0
D142,+AC0-94.61,97.01,top,0
D143,+AC0-92.21,49.01,top,0
D144,+AC0-92.21,51.41,top,0
D145,+AC0-92.21,53.81,top,0
D146,+AC0-92.21,56.21,top,0
D147,+AC0-92.21,58.61,top,0
D148,+AC0-92.21,61.01,top,0
D149,+AC0-92.21,63.41,top,0
D150,+AC0-92.21,65.81,top,0
D151,+AC0-92.21,68.21,top,0
D152,+AC0-92.21,70.61,top,0
D153,+AC0-92.21,73.01,top,0
D154,+AC0-92.21,75.41,top,0
D155,+AC0-92.21,77.81,top,0
D156,+AC0-92.21,80.21,top,0
D157,+AC0-92.21,82.61,top,0
D158,+AC0-92.21,85.01,top,0
D159,+AC0-92.21,87.41,top,0
D160,+AC0-92.21,89.81,top,0
D161,+AC0-92.21,92.21,top,0
D162,+AC0-92.21,94.61,top,0
D163,+AC0-92.21,97.01,top,0
D164,+AC0-89.81,49.01,top,0
D165,+AC0-89.81,51.41,top,0
D166,+AC0-89.81,53.81,top,0
D167,+AC0-89.81,56.21,top,0
D168,+AC0-89.81,58.61,top,0
D169,+AC0-89.81,61.01,top,0
D170,+AC0-89.81,63.41,top,0
D171,+AC0-89.81,65.81,top,0
D172,+AC0-89.81,68.21,top,0
D173,+AC0-89.81,70.61,top,0
D174,+AC0-89.81,73.01,top,0
D175,+AC0-89.81,75.41,top,0
D176,+AC0-89.81,77.81,top,0
D177,+AC0-89.81,80.21,top,0
D178,+AC0-89.81,82.61,top,0
D179,+AC0-89.81,85.01,top,0
D180,+AC0-89.81,87.41,top,0
D181,+AC0-89.81,89.81,top,0
D182,+AC0-89.81,92.21,top,0
D183,+AC0-89.81,94.61,top,0
D184,+AC0-89.81,97.01,top,0
D185,+AC0-87.41,49.01,top,0
D186,+AC0-87.41,51.41,top,0
D187,+AC0-87.41,53.81,top,0
D188,+AC0-87.41,56.21,top,0
D189,+AC0-87.41,58.61,top,0
D190,+AC0-87.41,61.01,top,0
D191,+AC0-87.41,63.41,top,0
D192,+AC0-87.41,65.81,top,0
D193,+AC0-87.41,68.21,top,0
D194,+AC0-87.41,70.61,top,0
D195,+AC0-87.41,73.01,top,0
D196,+AC0-87.41,75.41,top,0
D197,+AC0-87.41,77.81,top,0
D198,+AC0-87.41,80.21,top,0
D199,+AC0-87.41,82.61,top,0
D200,+AC0-87.41,85.01,top,0
D201,+AC0-87.41,87.41,top,0
D202,+AC0-87.41,89.81,top,0
D203,+AC0-87.41,92.21,top,0
D204,+AC0-87.41,94.61,top,0
D205,+AC0-87.41,97.01,top,0
D206,+AC0-85.01,49.01,top,0
D207,+AC0-85.01,51.41,top,0
D208,+AC0-85.01,53.81,top,0
D209,+AC0-85.01,56.21,top,0
D210,+AC0-85.01,58.61,top,0
D211,+AC0-85.01,61.01,top,0
D212,+AC0-85.01,63.41,top,0
D213,+AC0-85.01,65.81,top,0
D214,+AC0-85.01,68.21,top,0
D215,+AC0-85.01,70.61,top,0
D216,+AC0-85.01,73.01,top,0
D217,+AC0-85.01,75.41,top,0
D218,+AC0-85.01,77.81,top,0
D219,+AC0-85.01,80.21,top,0
D220,+AC0-85.01,82.61,top,0
D221,+AC0-85.01,85.01,top,0
D222,+AC0-85.01,87.41,top,0
D223,+AC0-85.01,89.81,top,0
D224,+AC0-85.01,92.21,top,0
D225,+AC0-85.01,94.61,top,0
D226,+AC0-85.01,97.01,top,0
D227,+AC0-82.61,49.01,top,0
D228,+AC0-82.61,51.41,top,0
D229,+AC0-82.61,53.81,top,0
D230,+AC0-82.61,56.21,top,0
D231,+AC0-82.61,58.61,top,0
D232,+AC0-82.61,61.01,top,0
D233,+AC0-82.61,63.41,top,0
D234,+AC0-82.61,65.81,top,0
D235,+AC0-82.61,68.21,top,0
D236,+AC0-82.61,70.61,top,0
D237,+AC0-82.61,73.01,top,0
D238,+AC0-82.61,75.41,top,0
D239,+AC0-82.61,77.81,top,0
D240,+AC0-82.61,80.21,top,0
D241,+AC0-82.61,82.61,top,0
D242,+AC0-82.61,85.01,top,0
D243,+AC0-82.61,87.41,top,0
D244,+AC0-82.61,89.81,top,0
D245,+AC0-82.61,92.21,top,0
D246,+AC0-82.61,94.61,top,0
D247,+AC0-82.61,97.01,top,0
D248,+AC0-80.21,49.01,top,0
D249,+AC0-80.21,51.41,top,0
D250,+AC0-80.21,53.81,top,0
D251,+AC0-80.21,56.21,top,0
D252,+AC0-80.21,58.61,top,0
D253,+AC0-80.21,61.01,top,0
D254,+AC0-80.21,63.41,top,0
D255,+AC0-80.21,65.81,top,0
D256,+AC0-80.21,68.21,top,0
D257,+AC0-80.21,70.61,top,0
D258,+AC0-80.21,73.01,top,0
D259,+AC0-80.21,75.41,top,0
D260,+AC0-80.21,77.81,top,0
D261,+AC0-80.21,80.21,top,0
D262,+AC0-80.21,82.61,top,0
D263,+AC0-80.21,85.01,top,0
D264,+AC0-80.21,87.41,top,0
D265,+AC0-80.21,89.81,top,0
D266,+AC0-80.21,92.21,top,0
D267,+AC0-80.21,94.61,top,0
D268,+AC0-80.21,97.01,top,0
D269,+AC0-77.81,49.01,top,0
D270,+AC0-77.81,51.41,top,0
D271,+AC0-77.81,53.81,top,0
D272,+AC0-77.81,56.21,top,0
D273,+AC0-77.81,58.61,top,0
D274,+AC0-77.81,61.01,top,0
D275,+AC0-77.81,63.41,top,0
D276,+AC0-77.81,65.81,top,0
D277,+AC0-77.81,68.21,top,0
D278,+AC0-77.81,70.61,top,0
D279,+AC0-77.81,73.01,top,0
D280,+AC0-77.81,75.41,top,0
D281,+AC0-77.81,77.81,top,0
D282,+AC0-77.81,80.21,top,0
D283,+AC0-77.81,82.61,top,0
D284,+AC0-77.81,85.01,top,0
D285,+AC0-77.81,87.41,top,0
D286,+AC0-77.81,89.81,top,0
D287,+AC0-77.81,92.21,top,0
D288,+AC0-77.81,94.61,top,0
D289,+AC0-77.81,97.01,top,0
D290,+AC0-75.41,49.01,top,0
D291,+AC0-75.41,51.41,top,0
D292,+AC0-75.41,53.81,top,0
D293,+AC0-75.41,56.21,top,0
D294,+AC0-75.41,58.61,top,0
D295,+AC0-75.41,61.01,top,0
D296,+AC0-75.41,63.41,top,0
D297,+AC0-75.41,65.81,top,0
D298,+AC0-75.41,68.21,top,0
D299,+AC0-75.41,70.61,top,0
D300,+AC0-75.41,73.01,top,0
D301,+AC0-75.41,75.41,top,0
D302,+AC0-75.41,77.81,top,0
D303,+AC0-75.41,80.21,top,0
D304,+AC0-75.41,82.61,top,0
D305,+AC0-75.41,85.01,top,0
D306,+AC0-75.41,87.41,top,0
D307,+AC0-75.41,89.81,top,0
D308,+AC0-75.41,92.21,top,0
D309,+AC0-75.41,94.61,top,0
D310,+AC0-75.41,97.01,top,0
D311,+AC0-73.01,49.01,top,0
D312,+AC0-73.01,51.41,top,0
D313,+AC0-73.01,53.81,top,0
D314,+AC0-73.01,56.21,top,0
D315,+AC0-73.01,58.61,top,0
D316,+AC0-73.01,61.01,top,0
D317,+AC0-73.01,63.41,top,0
D318,+AC0-73.01,65.81,top,0
D319,+AC0-73.01,68.21,top,0
D320,+AC0-73.01,70.61,top,0
D321,+AC0-73.01,73.01,top,0
D322,+AC0-73.01,75.41,top,0
D323,+AC0-73.01,77.81,top,0
D324,+AC0-73.01,80.21,top,0
D325,+AC0-73.01,82.61,top,0
D326,+AC0-73.01,85.01,top,0
D327,+AC0-73.01,87.41,top,0
D328,+AC0-73.01,89.81,top,0
D329,+AC0-73.01,92.21,top,0
D330,+AC0-73.01,94.61,top,0
D331,+AC0-73.01,97.01,top,0
D332,+AC0-70.61,49.01,top,0
D333,+AC0-70.61,51.41,top,0
D334,+AC0-70.61,53.81,top,0
D335,+AC0-70.61,56.21,top,0
D336,+AC0-70.61,58.61,top,0
D337,+AC0-70.61,61.01,top,0
D338,+AC0-70.61,63.41,top,0
D339,+AC0-70.61,65.81,top,0
D340,+AC0-70.61,68.21,top,0
D341,+AC0-70.61,70.61,top,0
D342,+AC0-70.61,73.01,top,0
D343,+AC0-70.61,75.41,top,0
D344,+AC0-70.61,77.81,top,0
D345,+AC0-70.61,80.21,top,0
D346,+AC0-70.61,82.61,top,0
D347,+AC0-70.61,85.01,top,0
D348,+AC0-70.61,87.41,top,0
D349,+AC0-70.61,89.81,top,0
D350,+AC0-70.61,92.21,top,0
D351,+AC0-70.61,94.61,top,0
D352,+AC0-70.61,97.01,top,0
D353,+AC0-68.21,49.01,top,0
D354,+AC0-68.21,51.41,top,0
D355,+AC0-68.21,53.81,top,0
D356,+AC0-68.21,56.21,top,0
D357,+AC0-68.21,58.61,top,0
D358,+AC0-68.21,61.01,top,0
D359,+AC0-68.21,63.41,top,0
D360,+AC0-68.21,65.81,top,0
D361,+AC0-68.21,68.21,top,0
D362,+AC0-68.21,70.61,top,0
D363,+AC0-68.21,73.01,top,0
D364,+AC0-68.21,75.41,top,0
D365,+AC0-68.21,77.81,top,0
D366,+AC0-68.21,80.21,top,0
D367,+AC0-68.21,82.61,top,0
D368,+AC0-68.21,85.01,top,0
D369,+AC0-68.21,87.41,top,0
D370,+AC0-68.21,89.81,top,0
D371,+AC0-68.21,92.21,top,0
D372,+AC0-68.21,94.61,top,0
D373,+AC0-68.21,97.01,top,0
D374,+AC0-65.81,49.01,top,0
D375,+AC0-65.81,51.41,top,0
D376,+AC0-65.81,53.81,top,0
D377,+AC0-65.81,56.21,top,0
D378,+AC0-65.81,58.61,top,0
D379,+AC0-65.81,61.01,top,0
D380,+AC0-65.81,63.41,top,0
D381,+AC0-65.81,65.81,top,0
D382,+AC0-65.81,68.21,top,0
D383,+AC0-65.81,70.61,top,0
D384,+AC0-65.81,73.01,top,0
D385,+AC0-65.81,75.41,top,0
D386,+AC0-65.81,77.81,top,0
D387,+AC0-65.81,80.21,top,0
D388,+AC0-65.81,82.61,top,0
D389,+AC0-65.81,85.01,top,0
D390,+AC0-65.81,87.41,top,0
D391,+AC0-65.81,89.81,top,0
D392,+AC0-65.81,92.21,top,0
D393,+AC0-65.81,94.61,top,0
D394,+AC0-65.81,97.01,top,0
D395,+AC0-63.41,49.01,top,0
D396,+AC0-63.41,51.41,top,0
D397,+AC0-63.41,53.81,top,0
D398,+AC0-63.41,56.21,top,0
D399,+AC0-63.41,58.61,top,0
D400,+AC0-63.41,61.01,top,0
D401,+AC0-63.41,63.41,top,0
D402,+AC0-63.41,65.81,top,0
D403,+AC0-63.41,68.21,top,0
D404,+AC0-63.41,70.61,top,0
D405,+AC0-63.41,73.01,top,0
D406,+AC0-63.41,75.41,top,0
D407,+AC0-63.41,77.81,top,0
D408,+AC0-63.41,80.21,top,0
D409,+AC0-63.41,82.61,top,0
D410,+AC0-63.41,85.01,top,0
D411,+AC0-63.41,87.41,top,0
D412,+AC0-63.41,89.81,top,0
D413,+AC0-63.41,92.21,top,0
D414,+AC0-63.41,94.61,top,0
D415,+AC0-63.41,97.01,top,0
D416,+AC0-61.01,49.01,top,0
D417,+AC0-61.01,51.41,top,0
D418,+AC0-61.01,53.81,top,0
D419,+AC0-61.01,56.21,top,0
D420,+AC0-61.01,58.61,top,0
D421,+AC0-61.01,61.01,top,0
D422,+AC0-61.01,63.41,top,0
D423,+AC0-61.01,65.81,top,0
D424,+AC0-61.01,68.21,top,0
D425,+AC0-61.01,70.61,top,0
D426,+AC0-61.01,73.01,top,0
D427,+AC0-61.01,75.41,top,0
D428,+AC0-61.01,77.81,top,0
D429,+AC0-61.01,80.21,top,0
D430,+AC0-61.01,82.61,top,0
D431,+AC0-61.01,85.01,top,0
D432,+AC0-61.01,87.41,top,0
D433,+AC0-61.01,89.81,top,0
D434,+AC0-61.01,92.21,top,0
D435,+AC0-61.01,94.61,top,0
D436,+AC0-61.01,97.01,top,0
D437,+AC0-58.61,49.01,top,0
D438,+AC0-58.61,51.41,top,0
D439,+AC0-58.61,53.81,top,0
D440,+AC0-58.61,56.21,top,0
D441,+AC0-58.61,58.61,top,0
D442,+AC0-58.61,61.01,top,0
D443,+AC0-58.61,63.41,top,0
D444,+AC0-58.61,65.81,top,0
D445,+AC0-58.61,68.21,top,0
D446,+AC0-58.61,70.61,top,0
D447,+AC0-58.61,73.01,top,0
D448,+AC0-58.61,75.41,top,0
D449,+AC0-58.61,77.81,top,0
D450,+AC0-58.61,80.21,top,0
D451,+AC0-58.61,82.61,top,0
D452,+AC0-58.61,85.01,top,0
D453,+AC0-58.61,87.41,top,0
D454,+AC0-58.61,89.81,top,0
D455,+AC0-58.61,92.21,top,0
D456,+AC0-58.61,94.61,top,0
D457,+AC0-58.61,97.01,top,0
D458,+AC0-56.21,49.01,top,0
D459,+AC0-56.21,51.41,top,0
D460,+AC0-56.21,53.81,top,0
D461,+AC0-56.21,56.21,top,0
D462,+AC0-56.21,58.61,top,0
D463,+AC0-56.21,61.01,top,0
D464,+AC0-56.21,63.41,top,0
D465,+AC0-56.21,65.81,top,0
D466,+AC0-56.21,68.21,top,0
D467,+AC0-56.21,70.61,top,0
D468,+AC0-56.21,73.01,top,0
D469,+AC0-56.21,75.41,top,0
D470,+AC0-56.21,77.81,top,0
D471,+AC0-56.21,80.21,top,0
D472,+AC0-56.21,82.61,top,0
D473,+AC0-56.21,85.01,top,0
D474,+AC0-56.21,87.41,top,0
D475,+AC0-56.21,89.81,top,0
D476,+AC0-56.21,92.21,top,0
D477,+AC0-56.21,94.61,top,0
D478,+AC0-56.21,97.01,top,0
D479,+AC0-53.81,49.01,top,0
D480,+AC0-53.81,51.41,top,0
D481,+AC0-53.81,53.81,top,0
D482,+AC0-53.81,56.21,top,0
D483,+AC0-53.81,58.61,top,0
D484,+AC0-53.81,61.01,top,0
D485,+AC0-53.81,63.41,top,0
D486,+AC0-53.81,65.81,top,0
D487,+AC0-53.81,68.21,top,0
D488,+AC0-53.81,70.61,top,0
D489,+AC0-53.81,73.01,top,0
D490,+AC0-53.81,75.41,top,0
D491,+AC0-53.81,77.81,top,0
D492,+AC0-53.81,80.21,top,0
D493,+AC0-53.81,82.61,top,0
D494,+AC0-53.81,85.01,top,0
D495,+AC0-53.81,87.41,top,0
