Comment,Designator,Footprint,JLCPCB Part +ACP/CA-optional+/wk-
1u,C1,402, C2887021
100n,C2,402,C5137468
15p,C3,402,C326803
15p,C4,402,C326803
1u,C5,402, C2887021
4.7u,C6,402,C380302
4.7u,C7,402,C380302
100n,C8,402,C5137468
4.7u,C9,402,C380302
4.7u,C10,402,C380302
100n,C11,402,C5137468
100n,C12,402,C5137468
100n,C13,402,C5137468
100n,C14,402,C5137468
100n,C15,402,C5137468
100n,C16,402,C5137468
100n,C17,402,C5137468
100n,C18,402,C5137468
10u,C19,402,C76991
100n,C20,402,C5137468
100n,C21,402,C5137468
10u,C22,402,C76991
100n,C23,402,C5137468
1u,C24,402, C2887021
Schottky Diode,D1,SOD+AC0-323,C146335
LED,D101,603,C497920
LED,D102,603,C497920
LED,D103,603,C497920
LED,D104,603,C497920
LED,D105,603,C497920
LED,D106,603,C497920
LED,D107,603,C497920
LED,D108,603,C497920
LED,D109,603,C497920
LED,D110,603,C497920
LED,D111,603,C497920
LED,D112,603,C497920
LED,D113,603,C497920
LED,D114,603,C497920
LED,D115,603,C497920
LED,D116,603,C497920
LED,D117,603,C497920
LED,D118,603,C497920
LED,D119,603,C497920
LED,D120,603,C497920
LED,D121,603,C497920
LED,D122,603,C497920
LED,D123,603,C497920
LED,D124,603,C497920
LED,D125,603,C497920
LED,D126,603,C497920
LED,D127,603,C497920
LED,D128,603,C497920
LED,D129,603,C497920
LED,D130,603,C497920
LED,D131,603,C497920
LED,D132,603,C497920
LED,D133,603,C497920
LED,D134,603,C497920
LED,D135,603,C497920
LED,D136,603,C497920
LED,D137,603,C497920
LED,D138,603,C497920
LED,D139,603,C497920
LED,D140,603,C497920
LED,D141,603,C497920
LED,D142,603,C497920
LED,D143,603,C497920
LED,D144,603,C497920
LED,D145,603,C497920
LED,D146,603,C497920
LED,D147,603,C497920
LED,D148,603,C497920
LED,D149,603,C497920
LED,D150,603,C497920
LED,D151,603,C497920
LED,D152,603,C497920
LED,D153,603,C497920
LED,D154,603,C497920
LED,D155,603,C497920
LED,D156,603,C497920
LED,D157,603,C497920
LED,D158,603,C497920
LED,D159,603,C497920
LED,D160,603,C497920
LED,D161,603,C497920
LED,D162,603,C497920
LED,D163,603,C497920
LED,D164,603,C497920
LED,D165,603,C497920
LED,D166,603,C497920
LED,D167,603,C497920
LED,D168,603,C497920
LED,D169,603,C497920
LED,D170,603,C497920
LED,D171,603,C497920
LED,D172,603,C497920
LED,D173,603,C497920
LED,D174,603,C497920
LED,D175,603,C497920
LED,D176,603,C497920
LED,D177,603,C497920
LED,D178,603,C497920
LED,D179,603,C497920
LED,D180,603,C497920
LED,D181,603,C497920
LED,D182,603,C497920
LED,D183,603,C497920
LED,D184,603,C497920
LED,D185,603,C497920
LED,D186,603,C497920
LED,D187,603,C497920
LED,D188,603,C497920
LED,D189,603,C497920
LED,D190,603,C497920
LED,D191,603,C497920
LED,D192,603,C497920
LED,D193,603,C497920
LED,D194,603,C497920
LED,D195,603,C497920
LED,D196,603,C497920
LED,D197,603,C497920
LED,D198,603,C497920
LED,D199,603,C497920
LED,D200,603,C497920
LED,D201,603,C497920
LED,D202,603,C497920
LED,D203,603,C497920
LED,D204,603,C497920
LED,D205,603,C497920
LED,D206,603,C497920
LED,D207,603,C497920
LED,D208,603,C497920
LED,D209,603,C497920
LED,D210,603,C497920
LED,D211,603,C497920
LED,D212,603,C497920
LED,D213,603,C497920
LED,D214,603,C497920
LED,D215,603,C497920
LED,D216,603,C497920
LED,D217,603,C497920
LED,D218,603,C497920
LED,D219,603,C497920
LED,D220,603,C497920
LED,D221,603,C497920
LED,D222,603,C497920
LED,D223,603,C497920
LED,D224,603,C497920
LED,D225,603,C497920
LED,D226,603,C497920
LED,D227,603,C497920
LED,D228,603,C497920
LED,D229,603,C497920
LED,D230,603,C497920
LED,D231,603,C497920
LED,D232,603,C497920
LED,D233,603,C497920
LED,D234,603,C497920
LED,D235,603,C497920
LED,D236,603,C497920
LED,D237,603,C497920
LED,D238,603,C497920
LED,D239,603,C497920
LED,D240,603,C497920
LED,D241,603,C497920
LED,D242,603,C497920
LED,D243,603,C497920
LED,D244,603,C497920
LED,D245,603,C497920
LED,D246,603,C497920
LED,D247,603,C497920
LED,D248,603,C497920
LED,D249,603,C497920
LED,D250,603,C497920
LED,D251,603,C497920
LED,D252,603,C497920
LED,D253,603,C497920
LED,D254,603,C497920
LED,D255,603,C497920
LED,D256,603,C497920
LED,D257,603,C497920
LED,D258,603,C497920
LED,D259,603,C497920
LED,D260,603,C497920
LED,D261,603,C497920
LED,D262,603,C497920
LED,D263,603,C497920
LED,D264,603,C497920
LED,D265,603,C497920
LED,D266,603,C497920
LED,D267,603,C497920
LED,D268,603,C497920
LED,D269,603,C497920
LED,D270,603,C497920
LED,D271,603,C497920
LED,D272,603,C497920
LED,D273,603,C497920
LED,D274,603,C497920
LED,D275,603,C497920
LED,D276,603,C497920
LED,D277,603,C497920
LED,D278,603,C497920
LED,D279,603,C497920
LED,D280,603,C497920
LED,D281,603,C497920
LED,D282,603,C497920
LED,D283,603,C497920
LED,D284,603,C497920
LED,D285,603,C497920
LED,D286,603,C497920
LED,D287,603,C497920
LED,D288,603,C497920
LED,D289,603,C497920
LED,D290,603,C497920
LED,D291,603,C497920
LED,D292,603,C497920
LED,D293,603,C497920
LED,D294,603,C497920
LED,D295,603,C497920
LED,D296,603,C497920
LED,D297,603,C497920
LED,D298,603,C497920
LED,D299,603,C497920
LED,D300,603,C497920
LED,D301,603,C497920
LED,D302,603,C497920
LED,D303,603,C497920
LED,D304,603,C497920
LED,D305,603,C497920
LED,D306,603,C497920
LED,D307,603,C497920
LED,D308,603,C497920
LED,D309,603,C497920
LED,D310,603,C497920
LED,D311,603,C497920
LED,D312,603,C497920
